economic_growth_rate,year,total_emigrants,gdp_per_capita_usd,it_growth_potential,difference_in_share,it_sector_investments,specialist_id,net_migration_persons,life_quality_index,age,inflation_rate,years_experience,unemployment_rate,internet_access,retention_index,political_stability_index,current_salary,migration_index,age_specific_migration_risk,percentage_in_population,total_international_migrants,average_it_salary
0.5406698564593301,0.6666666666666572,0.666666666666667,0.6,0.4443332666266426,1.0,0.6666666666666666,0.8888888888888888,0.3333333333333335,0.6666666666666665,0.05,0.0,0.0769230769230769,0.0555555555555555,0.7999999999999999,0.4443777511004402,0.6666666666666667,0.074074074074074,0.2887323943661971,0.5782881002087682,0.6428571428571432,0.666666666666667,0.6666666666666666
0.3157894736842105,0.4166666666666572,0.4166666666666669,0.2999999999999999,0.7771996531252086,1.0,0.4166666666666666,0.5555555555555556,0.5333333333333334,0.4166666666666665,0.3500000000000001,1.0,0.3846153846153847,0.2777777777777777,0.5000000000000001,0.7775332355164287,0.4166666666666667,0.6296296296296297,0.538732394366197,0.7265135699373695,0.3571428571428572,0.4166666666666669,0.4166666666666666
0.3014354066985645,0.1666666666666572,0.1666666666666669,0.15,0.6653547684166056,0.0,0.1666666666666666,0.2222222222222222,0.7333333333333334,0.1666666666666665,0.5,0.24999999999999994,0.6153846153846154,0.4999999999999998,0.2,0.6659330398826196,0.1666666666666666,0.4444444444444445,0.788732394366197,0.0,0.1428571428571432,0.1666666666666669,0.1666666666666666
0.6602870813397128,0.0833333333333143,0.0833333333333334,0.0999999999999999,0.5539545949792098,0.0,0.0833333333333332,0.1111111111111111,0.8666666666666667,0.083333333333333,0.25,0.6911764705882354,0.2307692307692307,0.8055555555555556,0.0999999999999999,0.5547552354275043,0.0833333333333333,0.2592592592592593,0.9014084507042256,0.941544885177453,0.071428571428572,0.0833333333333334,0.0833333333333333
0.0526315789473683,1.0,1.0,1.0,0.0002890623262846,1.0,1.0,,0.2666666666666666,1.0,,0.4558823529411764,,0.1111111111111111,1.0,0.0002223111466808,1.0,,0.0,0.0,1.0,1.0,1.0
0.5645933014354066,0.3333333333333144,0.3333333333333335,0.2500000000000001,0.8881551152913971,0.0,0.3333333333333333,0.4444444444444445,0.6000000000000001,0.333333333333333,0.75,0.32352941176470584,0.7692307692307693,0.3055555555555556,0.4,0.8884887288248632,0.3333333333333333,0.8148148148148148,0.6161971830985915,0.0,0.285714285714286,0.3333333333333339,0.3333333333333333
0.5598086124401913,0.5833333333333144,0.5833333333333335,0.5000000000000001,1.0,1.0,0.5833333333333334,0.7777777777777777,0.4000000000000001,0.583333333333333,1.0,0.5441176470588235,1.0,0.0833333333333332,0.7000000000000001,1.0,0.5833333333333334,1.0,0.3661971830985915,0.0,0.5357142857142856,0.5833333333333339,0.5833333333333334
0.0,0.8333333333333144,0.8333333333333335,0.7999999999999999,0.0,1.0,0.8333333333333334,,0.0,0.833333333333333,,0.13235294117647056,,0.3333333333333332,0.94,0.0,0.8333333333333334,,0.176056338028169,0.0,0.8214285714285712,0.8333333333333339,0.8333333333333334
0.784688995215311,0.25,0.25,0.2,0.4876926155693416,0.0,0.2499999999999999,0.3333333333333333,0.6666666666666667,0.25,0.1500000000000001,0.24999999999999994,0.1538461538461538,0.3611111111111109,0.2999999999999999,0.4882619714552488,0.25,0.1481481481481481,0.6971830985915493,0.8204592901878913,0.2142857142857148,0.25,0.2500000000000001
0.5454545454545454,0.5,0.5,0.35,0.3994174282347186,1.0,0.4999999999999999,0.6666666666666665,0.4666666666666668,0.5,0.2000000000000001,0.5147058823529412,0.0,0.1111111111111111,0.6,0.3995820550442399,0.5,0.0,0.443661971830986,0.6701461377870563,0.4642857142857144,0.5,0.5000000000000001
